"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Christian McCaffrey",SF,"1","2","1.8","0.4"
"2","James Cook III",BUF,"1","4","2.0","1.2"
"3","Kyren Williams",LAR,"1","3","2.5","0.9"
"4","RJ Harvey",DEN,"4","5","4.3","0.4"
"5","D'Andre Swift",CHI,"3","8","5.8","1.9"
"6","Kenneth Walker III",SEA,"6","7","6.3","0.4"
"7","Zach Charbonnet",SEA,"5","12","8.8","2.9"
"8","Blake Corum",LAR,"8","12","9.5","1.5"
"9","Kyle Monangai",CHI,"6","12","9.8","2.3"
"10","Woody Marks",HOU,"5","10","7.3","2.0"
"11","Rhamondre Stevenson",NE,"8","9","8.7","0.5"
"12","TreVeyon Henderson",NE,"10","11","10.7","0.5"
"13","Brian Robinson Jr.",SF,"8","16","12.3","3.3"
"14","Ray Davis",BUF,"10","15","13.0","2.2"
"15","Nick Chubb",HOU,"13","15","13.7","0.9"
"16","Ty Johnson",BUF,"14","16","14.7","0.9"
"17","Jarquez Hunter",LAR,"12","19","16.7","3.3"
"18","Kyle Juszczyk",SF,"17","18","17.7","0.5"
"19","Frank Gore Jr.",BUF,"13","20","16.5","3.5"
"20","Ronnie Rivers",LAR,"17","20","18.3","1.3"
"21","Reggie Gilliam",BUF,"14","21","17.5","3.5"
""
"22","Jordan James",SF,"15","24","19.5","4.5"
"23","Travis Homer",CHI,"16","22","19.0","3.0"
"24","Jawhar Jordan",HOU,"17","23","20.0","3.0"
"25","Dare Ogunbowale",HOU,"21","25","23.0","2.0"
