player,position,team,rank
Matthew Stafford,QB,LAR,1
Josh Allen,QB,BUF,2
Caleb Williams,QB,CHI,3
Sam Darnold,QB,SEA,4
Brock Purdy,QB,SF,5
Drake Maye,QB,NE,6
Bo Nix,QB,DEN,7
C.J. Stroud,QB,HOU,8
Christian McCaffrey,RB,SF,1
James Cook III,RB,BUF,2
Kyren Williams,RB,LAR,3
RJ Harvey,RB,DEN,4
D'Andre Swift,RB,CHI,5
Kenneth Walker III,RB,SEA,6
Zach Charbonnet,RB,SEA,7
Blake Corum,RB,LAR,8
Kyle Monangai,RB,CHI,9
Woody Marks,RB,HOU,10
Rhamondre Stevenson,RB,NE,11
TreVeyon Henderson,RB,NE,12
Brian Robinson Jr.,RB,SF,13
Ray Davis,RB,BUF,14
Nick Chubb,RB,HOU,15
Ty Johnson,RB,BUF,16
Jarquez Hunter,RB,LAR,17
Kyle Juszczyk,RB,SF,18
Frank Gore Jr.,RB,BUF,19
Ronnie Rivers,RB,LAR,20
Puka Nacua,WR,LAR,1
Jaxon Smith-Njigba,WR,SEA,2
Davante Adams,WR,LAR,3
Courtland Sutton,WR,DEN,4
Jauan Jennings,WR,SF,5
Khalil Shakir,WR,BUF,6
Luther Burden III,WR,CHI,7
DJ Moore,WR,CHI,8
Demarcus Robinson,WR,SF,9
Rome Odunze,WR,CHI,10
Stefon Diggs,WR,NE,11
Troy Franklin,WR,DEN,12
Cooper Kupp,WR,SEA,13
Christian Kirk,WR,HOU,14
Jayden Higgins,WR,HOU,15
Marvin Mims Jr.,WR,DEN,16
Brandin Cooks,WR,BUF,17
Ricky Pearsall,WR,SF,18
Kayshon Boutte,WR,NE,19
Keon Coleman,WR,BUF,20
Nico Collins,WR,HOU,21
Colston Loveland,TE,CHI,1
Dalton Kincaid,TE,BUF,2
Jake Tonges,TE,SF,3
Tyler Higbee,TE,LAR,4
Dawson Knox,TE,BUF,5
AJ Barner,TE,SEA,6
Colby Parkinson,TE,LAR,7
Dalton Schultz,TE,HOU,8
Cole Kmet,TE,CHI,9
Hunter Henry,TE,NE,10
Evan Engram,TE,DEN,11
HOU Defense,DST,HOU,1
NE Defense,DST,NE,2
SEA Defense,DST,SEA,3
BUF Defense,DST,BUF,4
DEN Defense,DST,DEN,5
LAR Defense,DST,LAR,6
SF Defense,DST,SF,7
CHI Defense,DST,CHI,8
Ka'imi Fairbairn,K,HOU,1
Jason Myers,K,SEA,2
Eddy Pineiro,K,SF,3
Harrison Mevis,K,LAR,4
Wil Lutz,K,DEN,5
Matt Prater,K,BUF,6
Cairo Santos,K,CHI,7
Andy Borregales,K,NE,8
