"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Matthew Stafford",LAR,"1","3","1.6","0.8"
"2","Josh Allen",BUF,"1","3","1.8","0.8"
"3","Caleb Williams",CHI,"2","6","3.4","1.5"
"4","Sam Darnold",SEA,"3","7","4.4","1.5"
"5","Brock Purdy",SF,"5","7","5.8","1.0"
"6","Drake Maye",NE,"4","5","4.3","0.4"
"7","Bo Nix",DEN,"6","7","6.2","0.4"
"8","C.J. Stroud",HOU,"8","9","8.3","0.4"
"9","Jimmy Garoppolo",LAR,"7","9","8.0","0.8"
"10","Mitchell Trubisky",BUF,"8","10","9.3","0.9"
"11","Tyson Bagent",CHI,"9","12","10.7","1.3"
"12","Mac Jones",SF,"10","12","11.0","1.0"
"13","Davis Mills",HOU,"11","13","12.0","1.0"
