"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Colston Loveland",CHI,"1","1","1.0","0.0"
"2","Dalton Kincaid",BUF,"2","2","2.0","0.0"
"3","Jake Tonges",SF,"3","8","4.3","2.2"
"4","Tyler Higbee",LAR,"4","8","5.8","1.8"
"5","Dawson Knox",BUF,"3","9","6.5","2.6"
"6","AJ Barner",SEA,"4","11","6.8","2.6"
"7","Colby Parkinson",LAR,"6","8","7.0","0.7"
"8","Dalton Schultz",HOU,"4","8","6.0","1.6"
"9","Cole Kmet",CHI,"5","12","9.3","2.6"
"10","Hunter Henry",NE,"5","9","6.3","1.9"
"11","Evan Engram",DEN,"9","11","10.3","0.9"
"12","Terrance Ferguson",LAR,"10","12","11.0","0.8"
"13","Jackson Hawes",BUF,"7","15","11.7","3.4"
"14","Adam Trautman",DEN,"10","18","14.0","3.3"
"15","Davis Allen",LAR,"12","16","14.3","1.7"
"16","Luke Farrell",SF,"14","17","15.0","1.4"
"17","Austin Hooper",NE,"13","16","14.5","1.5"
"18","Cade Stover",HOU,"17","18","17.5","0.5"
