"RK","PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"1","Jaxon Smith-Njigba",SEA,"1","2","1.5","0.5"
"2","Puka Nacua",LAR,"1","2","1.5","0.5"
"3","Davante Adams",LAR,"3","4","3.3","0.4"
"4","Courtland Sutton",DEN,"3","6","4.3","1.1"
"5","Stefon Diggs",NE,"4","5","4.8","0.4"
"6","Kayshon Boutte",NE,"5","7","6.0","0.7"
"7","Cooper Kupp",SEA,"7","9","8.5","0.9"
"8","Marvin Mims Jr.",DEN,"7","11","8.8","1.5"
"9","Troy Franklin",DEN,"7","10","8.8","1.3"
"10","Rashid Shaheed",SEA,"8","11","9.5","1.5"
"11","Kyle Williams",NE,"10","15","11.8","2.0"
"12","Pat Bryant",DEN,"6","14","10.3","3.3"
"13","DeMario Douglas",NE,"12","13","12.3","0.5"
"14","Jordan Whittington",LAR,"13","19","15.0","2.8"
"15","Lil'Jordan Humphrey",DEN,"14","14","14.0","0.0"
"16","Konata Mumpfield",LAR,"16","16","16.0","0.0"
"17","Efton Chism III",NE,"15","18","16.5","1.5"
"18","Velus Jones Jr.",SEA,"17","17","17.0","0.0"
"19","Tutu Atwell",LAR,"18","19","18.5","0.5"
"20","Jake Bobo",SEA,"20","20","20.0","0.0"
"21","Xavier Smith",LAR,"20","22","21.0","1.0"
""
"22","Dareke Young",SEA,"21","21","21.0","0.0"
