player,position,team,rank,passingYards,passingTDs,interceptions,rushingYards,rushingTDs,receptions,receivingYards,receivingTDs,fieldGoals,extraPoints,pointsAllowed,sacks,defensiveInterceptions,fumbleRecoveries,defensiveTDs
Josh Allen,QB,BUF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hurts,QB,PHI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drake Maye,QB,NE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Stafford,QB,LAR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Lawrence,QB,JAX,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caleb Williams,QB,CHI,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Love,QB,GB,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Herbert,QB,LAC,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brock Purdy,QB,SF,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Stroud,QB,HOU,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Rodgers,QB,PIT,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Young,QB,CAR,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saquon Barkley,RB,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian McCaffrey,RB,SF,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Jacobs,RB,GB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Cook III,RB,BUF,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travis Etienne Jr.,RB,JAX,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omarion Hampton,RB,LAC,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyren Williams,RB,LAR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TreVeyon Henderson,RB,NE,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Andre Swift,RB,CHI,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Warren,RB,PIT,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuba Hubbard,RB,CAR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
